schema_table,description
whse_environmental_monitoring.chra_marine_hazards_line,"MARINE HAZARD LINE represents the location of coastal British Columbia marine navigation hazards."
whse_environmental_monitoring.chra_marine_hazards_point,"MARINE HAZARD LINE represents the location of coastal British Columbia marine navigation hazards"
whse_environmental_monitoring.chra_kayaking_routes_line,"KAYAKING ROUTE LINE represents the location of coastal British Columbia marine and freshwater kayaking routes."
whse_environmental_monitoring.chra_moorages_point,"MOORAGE POINT represents the location of coastal British Columbia moorages."
whse_environmental_monitoring.chra_boat_cruising_routes_line,"BOAT CRUISING ROUTE LINE represents the location of coastal British Columbia recreational and pleasure craft cruising routes."
whse_environmental_monitoring.chra_ferry_routes_sp,"A FERRY ROUTE is a line that represents the route a marine vessel follows while carrying passengers freight or vehicles from one destination to another."
whse_wildlife_management.crims_commercial_anchovies,null
whse_wildlife_management.crims_commercial_crabs,null
whse_wildlife_management.crims_commercial_geoducks,null
whse_wildlife_management.crims_commercial_gsnkbarnacles,null
whse_wildlife_management.crims_commercial_groundfish,null
whse_wildlife_management.crims_commercial_herring,null
whse_wildlife_management.crims_commercial_herring_roe,null
whse_wildlife_management.crims_commercial_octopi,null
whse_wildlife_management.crims_commercial_prawns,null
whse_wildlife_management.crims_commercial_urchins,null
whse_wildlife_management.crims_commercial_salmon_nets,null
whse_wildlife_management.crims_commercial_salmon_trawls,null
whse_wildlife_management.crims_commercial_scallops,null
whse_wildlife_management.crims_commercial_seacucumbers,null
whse_wildlife_management.crims_commercial_shrimps,null
whse_wildlife_management.crims_commercial_squids,null
whse_human_cultural_economic.emrg_order_alert_cmnties_sv,"Evacuation order or alert status of populated communities in British Columbia."
whse_human_cultural_economic.econ_community_census_subdv_sp,"The table contains a list of BC community place names associated with their 7-digit CSD codes for a particular census year.  Some of these places are incorporated in which case the community name and the census subdivision name for the associated CSD code will be the same.  Others are unincorporated communities with no official boundaries in which the CSD code is the code for the census subdivision in which the community is located."
whse_admin_boundaries.bcha_cmnty_health_serv_area_sp,"The Community Health Service Areas (CHSAs) are a mutually exclusive classification of the land area in BC and fit within the existing geographical hierarchal boundaries of the Local Health Areas (LHAs) Health Service Delivery Areas (HSDAs) and Health Authorities (HAs). They are based on Census Dissemination Blocks."
whse_water_management.wls_community_ws_cancel_sv,"Areas currently designated as community watersheds (CW) by government to protect the water that is diverted for human consumption to conserve the quality quantity and timing of water flow; or to prevent cumulative hydrological effects that would have a material adverse effect on the water. This dataset includes additional attributes for government"
whse_water_management.wls_community_ws_pub_svw,"Areas currently designated as community watersheds (CW) by government to protect the water that is diverted for human consumption to conserve the quality quantity and timing of water flow; or to prevent cumulative hydrological effects that would have a material adverse effect on the water. This dataset includes additional attributes for government"
whse_human_cultural_economic.cen_prof_cd_commute_sv,
whse_legal_admin_boundaries.wcl_conservation_lands_sp,"CONSERVATION LAND SP represents Conservation Lands spatial and attribute data. This includes related information on various types/classes of land secured for fish wildlife and habitat conservation purposes. It includes Wildlife Management Areas designated. Source data are from Tantalis as well as the derived product from GeoBC. This is a polygon feature class."
whse_human_cultural_economic.adm_container_trucking_zns_sp,"Container Trucking Zones"
whse_environment_assessment.csr_natural_wildlands_sp,"Areas identified as Natural Wildlands land use for purposes of the Contaminated Sites Regulation (CSR).  Areas identified in this dataset are designated protected areas identified in Schedule 2.1 of the CSR and represent areas protected for the primary purpose of supporting natural ecosystems. These areas are afforded the highest level of protection under the CSR."
whse_wildlife_management.crims_cormorants,null
whse_imagery_and_base_maps.gsr_correctnl_facilities_sv,"GSR_CORRECTNL_FACILITIES_SV is a spatially enabled layer comprising Correctional Facilities. Correctional Facilities is a point dataset identifying prisons pretrial custody and youth custody facilities in British Columbia."
whse_legal_admin_boundaries.abms_counties_sp,"ABMS_COUNTIES_SP contains legally defined administrative boundary areas in the Province of British Columbia whose purpose is for the administration of justice. This spatial layer contains multipart features."
whse_imagery_and_base_maps.gsr_provincial_courts_svw,"GSR_PROVINCIAL_COURTS_SVW describes Justice BC court locations (including their geographic position)."
whse_wildlife_management.wcp_critical_habitat_sp,"This dataset displays the area within which critical habitat for federally-listed species at risk occurs or is being considered. The entire area will not necessarily be defined as critical habitat. To determine specific critical habitat locations it is essential that this information is reviewed in conjunction with relevant draft recovery strategies or action plans (“recovery documents”). The recovery documents contain important information about the interpretation of the spatial information for each species especially regarding the environmental features (“biophysical attributes”) that determine what is defined as critical habitat. This dataset includes \"candidate\" critical habitat clipped to British Columbia as depicted in draft recovery documents which are available only to specified users. This information is provided for reference and review and is subject to change before it is posted as final. If such data exist this dataset will also contain the location of biophysical attributes of \"final\" critical habitat at a more detailed scale than is available in the posted recovery document and critical habitat locations for sensitive species. This file includes data from the Pacific and Yukon regional branch of the Canadian Wildlife Service (Environment Canada) and Parks Canada. It does not include critical habitat identified by other regions within Environment Canada. Critical habitat is defined in the federal Species at Risk Act as \"the habitat that is necessary for the survival or recovery of a listed wildlife species and that is identified as the species’ critical habitat in the recovery strategy or action plan for the species\". Once identified critical habitat is not a “protection” designation. Federal or non-federal laws or bylaws may be in place to provide protection. This data is shared with the Province of B.C. through the Canada-BC Agreement on Species at Risk. It is not to be distributed beyond the named users. If external partie"
whse_admin_boundaries.clp_comm_site_pricing_zones_sp,null
whse_admin_boundaries.clp_log_hndl_pricing_zones_sp,"Log Handling Pricing Zones is a polygon dataset that represents zones with corresponding pricing rates used to calculate royalties for log handling areas. The value is based on the zone and whether or not the log handling use is General or Intensive."
whse_admin_boundaries.clp_utility_pricing_zones_sp,"Utility Pricing Zones is a polygon dataset that represents zones with corresponding pricing rates used to determine fees for the use of Crown Land for utility development. Rates are provided for 2007 and 2011."
whse_environmental_monitoring.emo_cruiseship_routes,null
whse_human_cultural_economic.cen_agricultural_regions_sv,"The latest Agricultural Boundary Files contain the boundaries of the 8 agricultural regions for British columbia."
whse_human_cultural_economic.cen_census_cons_subdivs_svw,"The last Census Consolidated Subdivision Boundary Files contain the boundaries of the 156 census consolidated subdivisions in British Columbia."
whse_human_cultural_economic.cen_census_dissem_areas_svw,"The Dissemination Area Boundary Files portray the dissemination area boundaries for which the latest Census data are disseminated. A dissemination area is a small area composed of one or more neighbouring blocks and is the smallest standard geographic area for which all census data are disseminated. The digital boundary file contains the boundaries of the 7469  dissemination areas for British Columbia. Dissemination areas 59290104 and 59290108 are not included within the cartographic boundary file because they are located entirely within coastal waters they are therefore automatically removed during the production of the cartographic boundary file."
whse_human_cultural_economic.cen_census_dissem_blocks_svw,"The Dissemination Block Boundary Files portray the dissemination block boundaries for which the latest Census data are disseminated. A dissemination block is an area bounded on all sides by roads and/or boundaries of standard geographic areas and is the smallest geographic area for which population and dwelling count data are disseminated. The digital boundary file contains the boundaries of 52793 dissemination blocks for British Columbia."
whse_human_cultural_economic.cen_census_divisions_svw,"The latest Census Division Boundary Files contain the boundaries of the 28 census divisions in British Columbia. A census division (CD) is an administrative area which is a component of the Standard Geographical Classification and comprised of census subdivisions. Census division is the general term for provincially legislated areas (e.g. Regional Districts). Census divisions are intermediate geographic areas between the province or territorial level and the municipality (census subdivision).The following is a list of the types associated with census divisions in British Columbia:Regional district (RD)Region (REG)"
whse_human_cultural_economic.cen_economic_regions_svw,"The latest Economic Region Boundary Files contain the boundaries of the 8 economic regions for British columbia."
whse_human_cultural_economic.cen_census_metro_areas_svw,"The latest Census Metropolitan Areas / Census Agglomerations Boundary Files for British Columbiacontain the boundaries of the 4 census metropolitan areas and 22 census agglomerations. Acensus metropolitan area (CMA) or a census agglomeration (CA) is formed by one or moreadjacent municipalities centred on a large urban area (known as the urban core). The censuspopulation count of the urban core is at least 10000 to form a census agglomeration and at least50000 to form a census metropolitan area. To be included in census metropolitan areas andcensus agglomerations other adjacent municipalities must have a high degree of integration withthe central urban area as measured by commuting flows derived from census place of work data.The types associated with the census metropolitan areas / census agglomerations are: censusmetropolitan area is a B census agglomeration with no census tracts D and censusagglomeration with census tracts is K.Census Metropolitan Areas / Census Agglomerations are multi-part polygons."
whse_human_cultural_economic.cen_census_subdivsions_svw,"The latest Census Subdivision Boundary Files contains the boundaries of the 836 censussubdivisions in British Columbia. A census subdivision is an administrative area which is a component of the Standard Geographical Classification. Census subdivision is the general term for municipalities as determined by provincial legislation or areas treated as municipal equivalents for statistical purposes for example Indian reserves Indian settlements and unorganized territories.The values for Statistical Area Classification (SACtype) used in British Columbia are:Census subdivision within census metropolitan area 1Census subdivision within census agglomeration with at least one census tract 2Census subdivision within census agglomeration having no census tracts 3Census subdivision outside of CMA / CA having strong metropolitan influence 4Census subdivision outside of CMA / CA having moderate metropolitan influence 5Census subdivision outside of CMA / CA having weak metropolitan influence 6Census subdivision outside of CMA / CA having no metropolitan influence 7Census Subdivisions are multi-part polygons."
whse_human_cultural_economic.cen_census_tracts_svw,"The Census Tract Boundary Files portray the census tract boundaries for which the latest Census data are disseminated. Census tracts are small relatively stable geographic areas that usually have a population of 2500 to 8000. They are located in census metropolitan areas and in census agglomerations with an urban core population of 50000 or more in the previous census. The files contain the boundaries of 654 census tracts located within British Columbia."
whse_admin_boundaries.ebc_prov_electoral_dist_svw,"EBC_PROV_ELECTORAL_DIST_SVW contains information about the currently in-effect provincial electoral districts in British Columbia including non-spatial information (e.g. name abbreviation boundary set identifier) and spatial information (boundary linework)."
whse_human_cultural_economic.econ_customs_ports_of_entry_sp,"Records in this table represent  places where someone may lawfully enter Canada. This dataset contains the addresses and geographic locations of road railway air and marine Canada Customs Ports of Entry in British Columbia"
whse_mineral_tenure.mms_notice_of_work,"The MMS_Notice_Of_Work table stores details about work all notice of work applications"
whse_water_management.gw_aquifer_vulnerability_poly,"Aquifer vulnerability is a spatial layer that describes the intrinsic vulnerability of the groundwater.  Intrinsic vulnerability means that it is based on hydrogeologic characteristics alone and does not consider the existing type of land use or nature of the potential contaminants.  In assessing an aquifer's vulnerability the contaminant is assumed to be introduced at or very near the land surface.  The methods used to describe vulnerability include: DRASTIC and Aquifer Vulnerability Index (AVI). This spatial layer has polygonal features."
whse_water_management.gw_aquifer_vlnrblty_rpt_idx_sp,null
whse_wildlife_management.crims_dabbling_ducks,null
whse_basemapping.trim_ebm_designatedareas,null
whse_imagery_and_base_maps.acdf_diagnostic_facilities_svw,null
whse_basemapping.dra_dgtl_road_atlas_mpar_sp,null
whse_imagery_and_base_maps.drp_disaster_respnse_routes_sp,"This feature represents road segments derived from the Digital Road Atlas that are designated as disaster routes. It uses line geometry."
whse_wildlife_management.crims_california_sealions,null
whse_wildlife_management.crims_dalls_porpoises,null
whse_wildlife_management.crims_gray_whales,null
whse_wildlife_management.crims_harbour_porpoises,null
whse_wildlife_management.crims_harbour_seals,null
whse_wildlife_management.crims_humpback_whales,null
whse_wildlife_management.crims_killer_whales,null
whse_wildlife_management.crims_northern_fur_seals,null
whse_wildlife_management.crims_pac_white_sided_dolphins,null
whse_wildlife_management.crims_seaotters,null
whse_wildlife_management.crims_stellar_sealions,null
whse_wildlife_management.crims_diving_ducks,null
whse_water_management.wls_bc_pod_drinkng_sources_sp,"BC POD DRINKNG SOURCES is a province-wide SDE layer displaying the location of water rights points of diversion for drinking water systems as licensed under the Water Act. In the context of this layer Drinking Water Systems means two or more water licences for domestic purpose at a single POD; and/or a water licence(s) for any other purpose indicating a water diversion and distribution system supplying water directly to residences and/or buildings for human consumption. This layer is a spatially de-normalized version of WLS_BC_POD_DRINKING_SOURCES_SVW."
whse_land_and_natural_resource.eaubc_eco_drainage_units_sp,"Ecological Drainage Units are nested within Freshwater Ecoregions and take into account zoogeographic climatic and physiographic patterns that define freshwater systems.  Ecological Drainage Units incorporate the known distribution of native freshwater fishes in BC. Thirty-six Ecological Drainage Units are identified in BC."
whse_land_and_natural_resource.eaubc_ecoregions_sp,"ECOREGION is a spatial layer representing Freshwater Ecoregions which are   defined based on zoogeographic patterns in fish recolonization following the last glacial recession. Five Freshwater Ecoregions are identified in BC."
whse_land_and_natural_resource.eaubc_lakes_sp,"LAKE is a spatial layer representing River and Lake Ecosystem Types nest within both Ecological Drainage Units and Freshwater Ecoregions. They are therefore defined by zoogeographic physiographic and climatic patterns but also take into account more localized physical habitat and dominant environmental processes that shape freshwater ecosystems. Biological information is sparse at this scale of the classification and is therefore not explicitly used to delineate ecosystem types. However fish assemblages can be inferred for each Ecosystem Type based on the Ecological Drainage Unit it is nested within. Twelve Lake Ecosystem Types are identified in BC."
whse_land_and_natural_resource.eaubc_rivers_sp,"RIVER is a spatial layer representing River and Lake Ecosystem Types nest within both Ecological Drainage Units and Freshwater Ecoregions. They are therefore defined by zoogeographicphysiographic and climatic patterns but also take into account more localized physical habitat and dominant environmental processes that shape freshwater ecosystems. Biological information is sparse at this scale of the classification and is therefore not explicitly used to delineate ecosystem types. However fish assemblages can be inferred for each Ecosystem Type based on the Ecological Drainage Unit it is nested within. Eleven River Ecosystem Types and twenty-three River Ecosystem Sub-Types are identified in BC."
whse_admin_boundaries.eadm_wlap_region_bnd_area_svw,"Ministry of Environment Regions. There are regional offices in nine key areas: Vancouver Island Lower Mainland Thompson Okanagan Kootenay Cariboo Skeena Omineca and Peace."
whse_imagery_and_base_maps.gsr_frph_early_childcare_svw,"GSR_FRPH_EARLY_CHILDCARE_SVW is a spatially enabled layer comprising French-speaking early childhood care services  offered to French-speaking people in BC. The types of services include healthcare professionals  child daycare facilities kindergarten schools."
whse_terrestrial_ecology.erc_ecodivisions_sp,"ECODIVISIONS SP represent  areas of broad climatic and physiographic uniformity. There are seven ecodivsions occurring within British Columbia. Ecodomains and ecodivsions place British Columbia in a global context. Ecodivsions are used in national state of the environment reporting. This is a mutipart feature class."
whse_terrestrial_ecology.erc_ecodomains_sp,"ECODOMAINS SP represent areas of broad climatic uniformity. There are three terrestrial and one oceanic ecodomain occurring in British Columbia. Ecodomains are used in global environmental strategies. This is a multipart feature class."
whse_fish.acat_report_point_pub_svw,null
whse_terrestrial_ecology.erc_ecoprovinces_sp,"ECOPROVINCES SP represent areas with consistent climatic or oceanography relief and regional landforms. There one oceanic two marine / terrestrial and seven terrestrial ecoprovinces occurring within British Columbia. Ecoprovinces are used in provincial state of the environment reporting. This is a multipart feature class."
whse_terrestrial_ecology.erc_ecoregions_sp,"ECOREGIONS SP represent areas with major physiographic and minor macroclimatic or oceanographic variation. Ecoregion are used for regional strategic planning. This is a mutipart feature class."
whse_terrestrial_ecology.erc_ecosections_sp,"ECOSECTIONS SP represent  areas with minor physiographic and macroclimatic or oceanographic variations.  Ecosections are used for resource emphasis and area planning. This is a multipart feature class."
whse_human_cultural_economic.bcha_chsa_education_level_sv,"Highest certificate diploma or degree achieved in private households by age (25% sample data)."
whse_human_cultural_economic.cen_prof_cd_education_sv,
whse_human_cultural_economic.cen_prof_csd_education_sv,
whse_wildlife_management.crims_eelgrasses,null
whse_legal_admin_boundaries.abms_electoral_areas_sp,"ABMS_ELECTORAL_AREAS_SP contains legally defined electoral administrative boundary areas in the Province of British Columbia. This spatial layer contains multipart features."
whse_mineral_tenure.geol_elog_points_sp,"Location of drill holes and electrical test logs"
whse_mineral_tenure.abmp_elk_vlly_wtr_qlty_pln_sv,null
whse_legal_admin_boundaries.drp_pep_regions_sp,"PEP REGION BOUNDARY POLY contains polygons describing the boundaries of Provincial Emegrency Program (PEP) regions. These fetures are non multi-part."
whse_imagery_and_base_maps.gsr_emergency_rooms_sv,"GSR_EMERGENCY_ROOMS_SV is a spatially enabled layer comprising Hospitals and other health care facilities in BC that provide 24-hour diagnostic and treatment services for people who have acute life-threatening injuries or severe illnesses."
whse_human_cultural_economic.emrg_social_srvcs_fclties_sp,"Approved facilities that provide Emergency Social Services assistance during an emergency event."
whse_admin_boundaries.adm_elmsd_region_boundaries_sp,"ELMSD REGION BOUNDARY SP  represents the regional boundaries of Ministry of Social Development Employment and Labour Market Services Division (ELMSD). This layer is a polygon feature class."
whse_admin_boundaries.adm_elmsd_catchments_sp,"ELMSD CATCHMENT SP  represents the employment catchment areas that the Ministry of Social Development maintains and uses for housing and social development.  This layer is a polygon feature class."
whse_environment_assessment.epic_project_points_svw,"Point Locations of Environmental Assessment Projects."
whse_admin_boundaries.adm_envmtl_emrg_rspns_dist_sp,"Administrative areas for responding to spills of hazardous materials and harmful substances"
whse_admin_boundaries.adm_envmtl_emrg_rspns_rgn_sp,"Administrative areas for responding to spills of hazardous materials and harmful substances further subdivided into Districts"
whse_waste.site_env_rmdtn_sites_svw,"SITE_ENV_RMDTN_SITES_SVW is a spatial view consists of point representation of Environmental Remediation Sites. Remediation is the removal or neutralization of chemical substances from a site to mitigate or prevent any adverse effects. Also known as decontamination. The view exposes the site attributes stored in table SITE_GOAT."
whse_human_cultural_economic.emrg_order_and_alert_areas_sp,"Regional Districts Municipalities Electoral Areas First Nation Reserves Communities or portions thereof where an Evacuation Order or an Evacuation Alert has been issued."
whse_basemapping.trim_ebm_extractionsites,null
whse_admin_boundaries.fadm_bcts_area_sp,"A BC Timbers Sales Business Area is an administrative area established by the Ministry (The Forest Act) and establishes the BC Timber Sales Program management Unit."
whse_admin_boundaries.fadm_cascade_mtn_boundary_sp,null
whse_admin_boundaries.fadm_designated_areas,"Defines areas protected from harvesting activities by Order-in-Council as per part 15 of the Forest Act."
whse_admin_boundaries.fadm_mtn_pine_beetle_sa_poly,null
whse_admin_boundaries.fadm_prov_forest,null
whse_admin_boundaries.fadm_prov_forest_addition,null
whse_admin_boundaries.fadm_prov_forest_deletion,null
whse_admin_boundaries.fadm_prov_forest_exclusion,null
whse_admin_boundaries.fadm_public_sustained_yield_un,null
whse_admin_boundaries.fadm_pulpwood_agreement,null
whse_admin_boundaries.fadm_pulpwood_area,null
whse_admin_boundaries.fadm_region_compartment,null
whse_admin_boundaries.fadm_special_protection_area,null
whse_admin_boundaries.fadm_tsa,null
whse_admin_boundaries.fadm_tfl_addition,null
whse_admin_boundaries.fadm_tfl_deletion,null
whse_admin_boundaries.fadm_tfl_sched_a,null
whse_admin_boundaries.fadm_tfl,null
whse_admin_boundaries.fadm_tfl_all_sp,null
whse_legal_admin_boundaries.ecds_providers_services_svw,null
whse_environmental_monitoring.nrc_offshr_explrtry_wells,null
whse_environmental_monitoring.nrc_offshr_oil_gas_tenures,null
whse_imagery_and_base_maps.gsr_ferry_terminals_sv,"GSR_FERRY_TERMINALS_SV is a spatially enabled layer comprising Ferry Terminals. Ferry Terminals is a point dataset identifying vehicle and passenger ferry terminals in British Columbia."
whse_admin_boundaries.fadm_fibre_recovery_zones_sp,"Fiber Recovery Zones of BC are geographic areas identifying where a primary provider will be using or abandoning their rights to the residual fibre."
whse_forest_vegetation.veg_burn_severity_sp,
whse_forest_vegetation.veg_burn_severity_same_yr_sp,
whse_land_and_natural_resource.prot_historical_incidents_sp,"Contains the coordinate locations of historical (not current/active) fire incidents. The data contains the spatial representation of the location coordinate point where the incident occured zone information and a geographic description."
whse_land_and_natural_resource.prot_current_fire_pnts_sp,"Contains coordinate locations of current/active fire incidents. The data contains the spatial representation of the location coordinate point where the incident is occuring zone information and a geographic description."
whse_land_and_natural_resource.prot_current_fire_polys_sp,"Contains perimeter areas of current/active fire incidents. The data contains the spatial representation of the area the incident occured within specific and generalized cause information and the total hectares as well as the method used to create the spatial representation of the data."
whse_land_and_natural_resource.prot_historical_fire_polys_sp,"PROT_HISTORICAL_FIRE_POLYS_SP contains perimeter areas of historical (not current/active) fire incidents. The data contains the spatial representation of the area the incident occured within specific and generalized cause information and the total hectares as well as the method used to create the spatial representation of the data."
whse_human_cultural_economic.fn_community_locations_sp,"This spatial dataset contains the approximate  locations of First Nations in British Columbia.  Locations are based on the location of the main community as obtained from Aboriginal Affairs and Northern Development Canada (AANDC).  This data includes 6 Yukon or NWT bands that have parts of their traditional territories in B.C. and have been accepted into the BC treaty process. This is a multipoint feature. LIMITATONS: Although every attempt has been made to ensure that this data is accurate and complete some First Nations may be missing or inaccurately positioned.  The First Nations themselves should be contacted for the definitive locations."
reg_legal_and_admin_boundaries.qsoi_bc_regions,null
whse_legal_admin_boundaries.fnt_treaty_side_agreements_sp,"A feature class which provides details of various agreements the province has entered into with the various First Nations. The geographic extent of the agreement area is provided along with pertinent attribute information."
whse_legal_admin_boundaries.fnt_treaty_area_sp,"TREATY AREA SP represents the area within which the First Nation has a role (as described in the treaty) related to economic activities governance activities and cultural activities. It is also the area within which the First Nation should be consulted on potential land and resource activities. This is not a multipart feature class."
whse_legal_admin_boundaries.fnt_treaty_land_sp,null
whse_legal_admin_boundaries.fnt_treaty_related_land_sp,null
whse_imagery_and_base_maps.gsr_first_responders_svw,"GSR_FIRST_RESPONDERS_SVW is a spatially enabled layer comprising BC First Responders is a point dataset identifying ambulance fire and police facilities in British Columbia."
whse_wildlife_management.crims_holding_areas,null
whse_wildlife_management.wcp_fish_sensitive_ws_poly,null
whse_wildlife_management.wcp_fish_sens_ws_proposed_sp,"A Fisheries Sensitive Watershed (FSW) is a mapped area with specific management objectives intended to guide development activities which may adversely impact important fish values . FSWs within this set of data are currently in the review and consultation stage of the area designation process."
reg_land_and_natural_resource.flow_suit_car_poly_sp,"This polygon dataset identifies the habitat suitability rating for Flammulated Owl (FLOW) within the Cariboo Natural Resource Region."
whse_water_management.fpw_appurtenant_structure_svw,"Appurtenant structures related to the flood protection structures constructed to prevent flooding of land and are not \"private dike\" as defined under the Dike Maintenance Act (DMA). This spatial view excludes WORKS_TYPE_APPURT = PHOTO."
whse_water_management.fpw_flood_protection_wrk_line,"Structures constructed to prevent flooding of land and are not \"private dike\" as defined under the Dike Maintenance Act (DMA).  Consist of various types of structures including those defined as \"dike\" under the DMA erosion protections for structures regulated under the DMA and structures constructed under emergency response."
whse_imagery_and_base_maps.gsr_food_banks_sv,"GSR_FOOD_BANKS_SV is a spatially enabled layer comprising Food Banks. Food Banks is a point dataset identifying food banks in British Columbia."
reg_land_and_natural_resource.fish_foreshore_plant_hab_ok_sp,"Foreshore Plant Sensitivity Zones for Okanagan large lakes. The purpose of these data are to support the Okanagan Large Lakes Foreshore Protocol which provides direction to proponents and qualified professionals on requirements for provincial natural resource applications based on the environmental sensitivity of a site and the risk of the foreshore development activity. The data were sourced from known plant species at risk occurrence records."
whse_forest_tenure.fsp_fdu_poly_spg,"The generalized spatial representation of a Forest Development Unit representing a portion of a Forest Stewardship Plan. The Forest Development Unit is the spatially-mapped area of land within a Forest Stewardship Plan where specific forest practices obligations apply to specific forest licensees."
whse_admin_boundaries.fadm_forest_inventory_zones_sp,"The Forest Inventory Zones (FIZ) were developed to provide a broadly based ecological classification of the forest land in BC.  The province is split into 12 FIZ zones with FIZ  boundaries closely following the early Biogeoclimatic Zones developed by Dr. Krajina.  A FIZ code is assigned using a lookup table based on Forest Inventory Region and Compartment.  Previously FIZ codes were used as an index to coefficients for calculating all volumes diameters Mean Annual Increments (MAI) and Basal Areas."
reg_land_and_natural_resource.forest_licensee_oper_sp,null
whse_forest_tenure.fom_cutblock_sp,
whse_forest_tenure.fom_road_section_sp,
whse_forest_tenure.fom_wldlfe_tree_retntn_area_sp,
whse_forest_tenure.ften_road_segment_poly_svw,null
whse_forest_tenure.fsp_identified_area_poly_spg,null
whse_forest_tenure.ften_comm_site_poly_svw,"Ministry of Forests Radio Communication Sites are physical land locations containing structures and equipment which provide two or one-way voice and or data wireless communications to field staff or for operational activities."
whse_forest_tenure.ften_cut_block_poly_svw,"Information about harvesting that takes place on a cut block."
whse_forest_tenure.ften_free_use_permit_poly_svw,"A permit issued by the Ministry that authorizes the permittee to cut and use Crown timber without charge.  The permit is confined to a small area and for short durations of time."
whse_forest_tenure.ften_harvest_auth_poly_svw,"Information about the timber cutting permission  for a timber tenure."
whse_forest_tenure.ften_managed_licence_poly_svw,"Community Forest Schedule A and B Wood Lot License Schedule A and B. The Forest Tenures Section (FTS) is responsible for the creation and maintenance of digital Forest Atlas files for the province of British Columbia encompassing Forest and Range"
whse_forest_tenure.ften_map_notatn_lines_svw,"The linear spatial representation for a notation on the Forest Atlas which records the area of interest of other government agencies and individuals."
whse_forest_tenure.ften_map_notatn_points_svw,"The point spatial representation for a notation on the Forest Atlas which records the area of interest of other government agencies and individuals."
whse_forest_tenure.ften_map_notatn_poly_svw,"The polygonal spatial representation for a notation on the Forest Atlas which records the area of interest of other government agencies and individuals."
whse_forest_tenure.ften_real_property_poly_svw,"The spatial representation of land that is under intensive management/administration by the Ministry of Forests for various purposes consistent with the Forest Act."
whse_forest_tenure.ften_road_section_lines_svw,"The spatial representation of the road sections within an RP - Road Permit FSR - Forest Service Road or SUP - Special Use Permit road.  The geometry is the centre line of the road section."
whse_forest_tenure.ften_road_segment_lines_svw,"Uniquely identifies all road segments within a road section."
whse_forest_tenure.ften_rup_section_lines_sp,"This is a spatial layer that reflects industrial activities on Forest Service Roads.The Forest Tenures Branch (FTB) is responsible for the creation and maintenance of digital Road Use Permit data for the Province of British Columbia. All industrial users on an FSR are required to obtain a Road Use Permit unless an exemption is granted in accordance with section 22.1 (4) of the Forest and Range Practices Act."
whse_forest_tenure.ften_spec_access_rd_lines_svw,"The spatial representation of the linear geometry for FSR Declarations and FSR Gazettes Unsurveyed."
whse_forest_tenure.ften_spec_access_rd_poly_svw,"The spatial representation of the polygonal geometry for FSR Dedications and FSR Gravel Pits."
whse_forest_tenure.ften_spec_use_permit_poly_svw,"A spatial representation for non-road special use permits."
whse_forest_tenure.ften_timber_licence_poly_svw,"A spatial representation of the Map Blocks for Timber Licences."
whse_forest_tenure.ften_tl_elimination_poly_svw,"The spatial representation for the areas that have been eliminated from a timber licence."
whse_basemapping.fwa_assessment_watersheds_poly,"Contains an aggregate of watershed polygons in an attempt to create a standard  \"assessment sized\" watershed suitable for analytical purposes.  This layer mimics the 1:50K 3rd order watershed polygon layer.  May contain multipart geometries.  Spatial type: multipart polygon."
whse_basemapping.fwa_bays_and_channels_poly,"Contains bay and channel (fresh and coastal) features and associated names. Spatial geometry: Multipart polygon"
whse_basemapping.fwa_coastlines_sp,"Contains all coastline edges including marine islands and the mainland coast.  Does not contain multipart geometries.  Spatial Type: spagetti line"
whse_basemapping.fwa_glaciers_poly,"Contains all glacier polygons for the province.  May contain multipart geometries.  Spatial type: multipart polygon"
whse_basemapping.fwa_islands_poly,"Contains all island polygons.  Islands may overlap as there are islands within islands.  Spatial geometry: multipart polygon"
whse_basemapping.fwa_lakes_poly,"Contains all lake polygons for the province.  Does not contain multipart geometries.  Spatial type: simple polygon"
whse_basemapping.fwa_linear_boundaries_sp,"Contains all bank edges (of rivers lakes and wetlands) delimiter edges glacier edges and administrative boundary edges.  Does not contain multipart geometries.  Spatial type: simple line"
whse_basemapping.fwa_manmade_waterbodies_poly,"Contains all manmade waterbody polygons for the province including reservoirs and canals.  Does not contain multipart geometries.  Spatial type: simple polygon"
whse_basemapping.fwa_named_point_features_sp,"Contains point features (both fresh and coastal) and associated names.  Does not contain multipart geometries.  Spatial geometry: point"
whse_basemapping.fwa_named_watersheds_poly,"Contains all watersheds of named rivers and the associated name details.  There are approximately 12 000 named watersheds in BC.  This contains multipart geometries. Spatial gemetry: multipart polygon"
whse_basemapping.fwa_obstructions_sp,"Contains water obstacles (rapids falls etc). This does not contain multipart geometries. Spatial geometry: point"
whse_basemapping.fwa_rivers_poly,"Contains all double line river polygons in the province.  Does not contain multipart geometries.  Spatial type: simple polygon"
whse_basemapping.fwa_stream_directions_sp,"Directional arrowheads for use with web mapping applications only. Arrowheads are in various sizes for scale dependant display. Arrowhead orientation is based on the vertex order of the referenced linear element."
whse_basemapping.fwa_stream_networks_sp,"Contains only flow network arcs (observed inferred and constructed flows).  Contains no banks coast or watershed boundary arcs. Does not contain multipart geometries. Spatial geometry: simple line"
whse_basemapping.fwa_watershed_boundaries_sp,"Contains all watershed boundary lines used to enclose fundamental watersheds.  Does not contain multipart geometries."
